Segment Info
Segment Name,172
Recording Name,记录002
Subject Name,被试002
Frequency(Hz),600
Start Time(s),432.4178278
End Time(s),434.9199247

Id,Time(s),LeftEyePositionValidity,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,RightEyePositionValidity,RightEyePositionX,RightEyePositionY,RightEyePositionZ,LeftGazePositionValidity,LeftGazePositionX,LeftGazePositionY,LeftGazePositionZ,LeftGazePointValidity,LeftGazePointX,LeftGazePointY,RightGazePositionValidity,RightGazePositionX,RightGazePositionY,RightGazePositionZ,RightGazePointValidity,RightGazePointX,RightGazePointY,LeftPupilValidity,LeftPupilDiameter,RightPupilValidity,RightPupilDiameter
399,433.081833366667,True,-49.9431838989258,-26.6498947143555,602.079223632813,True,9.58695220947266,-28.1805820465088,604.526733398438,True,-168.934234619141,165.228057861328,37.2582626342773,True,0.193959712982178,0.458915770053864,True,-169.971038818359,166.964721679688,37.8903884887695,True,0.192081451416016,0.452963590621948,True,2.93832397460938,True,3.00808715820313
400,433.083500033333,True,-49.9461288452148,-26.6567649841309,602.098876953125,True,9.58976554870605,-28.1790161132813,604.540710449219,True,-167.442932128906,167.451721191406,38.0676307678223,True,0.196661382913589,0.451294541358948,True,-169.979614257813,163.511459350586,36.6334419250488,True,0.192065924406052,0.464799076318741,True,2.93582153320313,True,3.02145385742188
401,433.0851667,True,-49.9418792724609,-26.6544322967529,602.064636230469,True,9.58855056762695,-28.1894130706787,604.522155761719,True,-167.831634521484,166.578308105469,37.7497062683105,True,0.195957124233246,0.454288005828857,True,-169.053833007813,164.503265380859,36.9944534301758,True,0.193743050098419,0.461399793624878,True,2.93984985351563,True,3.02122497558594
402,433.086833366667,True,-49.9415130615234,-26.6607398986816,602.060974121094,True,9.59015655517578,-28.185432434082,604.531127929688,True,-169.436950683594,168.929580688477,38.6055374145508,True,0.193048983812332,0.446229457855225,True,-170.614410400391,164.984237670898,37.1695976257324,True,0.190915927290916,0.459751278162003,True,2.92886352539063,True,3.01199340820313
403,433.088500033333,True,-49.9389953613281,-26.6595458984375,602.041625976563,True,9.59112548828125,-28.188060760498,604.524536132813,True,-168.086898803711,166.703948974609,37.7954635620117,True,0.195494771003723,0.453857421875,True,-169.920440673828,164.109634399414,36.8512077331543,True,0.192173153162003,0.462749004364014,True,2.94169616699219,True,3.00730895996094
404,433.0901667,True,-49.9395446777344,-26.6607475280762,602.053344726563,True,9.593092918396,-28.195384979248,604.53857421875,True,-169.057022094727,168.330337524414,38.3874206542969,True,0.193737298250198,0.44828325510025,True,-169.593841552734,163.724578857422,36.7110557556152,True,0.192764788866043,0.464068621397018,True,2.92709350585938,True,3.02206420898438
405,433.091833366667,True,-49.943717956543,-26.6675109863281,602.070068359375,True,9.59229469299316,-28.1954193115234,604.50439453125,True,-169.959838867188,170.302642822266,39.1052742004395,True,0.1921017318964,0.441523522138596,True,-169.721252441406,164.26025390625,36.9060478210449,True,0.19253396987915,0.462232619524002,True,2.92448425292969,True,3.01370239257813
406,433.093500033333,True,-49.9404525756836,-26.6641311645508,602.060668945313,True,9.5941047668457,-28.2004528045654,604.524230957031,True,-168.330505371094,165.709228515625,37.4334182739258,True,0.195053458213806,0.457266628742218,True,-171.006286621094,166.474517822266,37.711986541748,True,0.190205976366997,0.454643666744232,True,2.94291687011719,True,3.01701354980469
407,433.0951667,True,-49.9433441162109,-26.6647911071777,602.073059082031,True,9.59402561187744,-28.2042083740234,604.541076660156,True,-168.389663696289,167.963851928711,38.2540130615234,True,0.194946274161339,0.449539363384247,True,-169.952972412109,166.927062988281,37.8767127990723,True,0.192114189267159,0.453092694282532,True,2.93638610839844,True,3.00740051269531
408,433.096833366667,True,-49.9407806396484,-26.6740493774414,602.070861816406,True,9.59738063812256,-28.2033176422119,604.539611816406,True,-167.105102539063,168.2275390625,38.3499984741211,True,0.19727335870266,0.448635637760162,True,-169.543792724609,163.894897460938,36.7730560302734,True,0.192855447530746,0.463484853506088,True,2.93585205078125,True,3.01690673828125
